"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast"
"1",23,96,152,361,470,551,615,854,53,5,0.000343930278643434,0.240210950471985,3.37313337738215
"2",269,308,359,470,632,678,746,840,46,4,0.000344786075981762,0.105410607259638,3.55683291377898
"3",35,161,198,427,479,618,680,795,39,3,0.000537567909967063,0.261707099267104,3.37699900034764
"4",15,110,198,243,604,655,736,794,47,3,0.000544401454100285,0.292901402981109,3.38635424047972
"5",109,161,186,201,276,732,757,821,40,4,0.000642335583392661,0.319456563969617,3.24357281070205
"6",50,70,198,458,775,797,811,839,37,2,0.000773986423393325,0.489342720542875,3.16069583757566
"7",14,222,251,400,413,429,442,712,30,3,0.000846286309277744,0.145221176140743,3.46074856673279
"8",337,466,530,534,597,643,752,854,51,2,0.000886042047163027,0.00198640096252367,3.63315935283182
"9",76,235,255,258,349,412,550,551,37,2,0.00110101427917453,0.138588725144064,3.29030063000562
"10",198,232,260,283,288,409,612,706,39,3,0.00114855446303919,0.29153103609024,3.3573555738446
"11",6,35,353,525,642,643,711,849,50,2,0.00122353182622925,0.0695266755386155,3.72132166835681
"12",141,197,240,360,429,546,657,804,50,4,0.001266370308179,0.111169276727896,3.47180725930963
"13",82,93,157,202,247,560,626,809,40,4,0.00142546241992036,0.0489025021059608,6.87207217961458
"14",11,247,495,547,556,609,840,847,47,4,0.00146668763368263,0.0169845833867357,3.56332256057106
"15",8,205,227,494,522,529,643,647,49,4,0.00151937021615645,0.0577680343117941,3.58107681712023
"16",158,268,306,412,447,466,560,652,59,4,0.00168772773352188,0.123747191001463,3.29066163019798
"17",134,444,451,540,668,822,830,833,43,4,0.00175537174979201,0.02776244317598,3.55075242628423
"18",21,65,163,315,453,643,783,841,40,3,0.00179039060847508,0.101787800434337,3.48843785939317
"19",98,284,412,519,595,636,781,793,49,2,0.00205115663609146,0.12018721531855,3.29299056613226
