	abv.bev	adm.grainsoy	aepi.rubber	agnico.eagle.gold	akoa.bev	alcoa	alliance.resources	ameritrade.efin	apache.oil	arch.chem	barnell.photo	barrick.gold	basf.synthetics	bbt.bank	bbv.arg.bnk	bcs.bank	bdk.tool	bg.pipeline	blx.arg.bnk	bni.rr	boa.bank	borg.warner.autoparts	bp.majoroil	brl.drug	brown.forman	bud.beer	carlisle.tire	caterpillar.hvy.eq	cfc.mort	chevron.majoroil	cm.can.bnk	cmi.diesel	coca.cola	coeur.dalene	corn.prod	daimler.chrysler	delmonte.processed.foods	deo.bev	dow.chemical	dswl.tire	dw.bldg.mat	eix.ute	eliz.arden	en.for.ute	enerplus	eni.for.ute	eni.spa.oil	enr.elec.eq	ethan.allen	exxon	fur.reit	gbx.rr	general.dynamics	goodyear.tire	harley.davidson	hbfuller.chem	herman.miller	hni.elec	hormel	hw.bldg.mat	ibm	ipii.bldg.mat	kdn.mx.tools	kellogg	kimberly.clark	kmt.mx.tool	kroger	ldl.textile	leg.furn	magna.autoparts	mat.toy	mdu.bldg.mat	medaco.copper	merck.pharm	methanex.specialty.chemical	minas.buenaventura	mktay.tool	mlm.bldg.mat	morgan.stanley	nadx.med	nafc.food.whl	nam.tai.elec	navistar	nbg.gr.bnk	nfi.mort	nhi.hosp.reit	nike.shoe	norsk.hydro	northrop.grumman.weapons	nsc.rr	nucor.steel	occidental.oil	oneok.pipeline	oregon.steel	osg.shipping	patterson.uti.energy	petro.china	pg	phe.elec	pii.motor	plains.amer.pipeline	plus.healthcare	pnr.ind.comp	pool.sport	popez.lumber	potlatch.paper	precision.drilling	pw.reit	repsol.oil	reynolds.tabacco	rohm.haas.chemicals	rok.elec.eq	rs.metal.fab	rubbermaid.houseware	rwt.reit	sbgi.tv	seabord.food	sfg.health	sid.iron	snhy.hydro.eq	south.copper	spx.appl	syngentia.ag.chem	tandy.leather	td.can.bnk	televisa.broadcasting	ter.semicon	terro.nitro	tgs.gas.ut	tomkins.autoparts	toyota	unilever.major.food	us.tabacco	usu.metal	vanity.fair	volvo	weyco.shoe	whirlpool.appliance	wsfs.bnk	wwin.waste	x.steel	yankee.candle	ypf.petro
2000-Nov-17	22.12	11.75	39.94	5.25	12.56	27	16	12.88	58.88	19	17.06	13.25	36.69	30.81	12.88	112.75	34.38	20.38	27.75	25.94	40.31	35.94	51.25	64.87	65	47.63	43	36.94	36.5	83.75	30	33.06	61.44	0.81	25.31	42.85	7.12	40.56	31.62	16.13	6	23.62	12	36.85	14.69	17.44	59.63	21.06	27.94	90.31	2.63	9.38	73.12	18.44	47.94	34.44	25.19	25.19	18.56	2.62	101.94	0.45	21.88	27	65.31	26.56	26.37	10.06	16	42.81	13.62	29.31	4.94	88.5	5	10.88	7.5	38.92	68.69	19	13.25	17.25	33.06	6.44	3.81	6.31	41.69	39.75	77.94	14.94	34.19	21.12	28.38	1.5	24.62	29.81	19.94	75.75	35.81	37.88	19.62	12.75	27.94	26.62	22	31.44	29.69	6.81	16.25	35.12	29.44	41.56	23.5	19.88	17	9.12	176	41.94	29	6.75	12.75	114.94	8.81	1.19	25.56	52.75	33.5	7.38	7.19	8.25	75.03	32.19	23.19	4.94	28.31	14.75	25	40.13	10.81	5.5	13.62	14.06	31
2000-Nov-20	22.31	11.56	42	5.5	12.5	26.19	15.88	11.69	60.19	18.12	17.25	13.31	36.44	30.31	12.31	114	33.44	20.06	27.81	26.19	39.31	36.06	50.38	61.88	65.31	48.06	41.88	37.19	35.63	83.69	29.62	32.63	56.56	0.88	25.06	40.1	6.94	40.44	31.44	15.75	6	23.44	11.63	36.9	14.69	17.5	59.5	20.69	27.69	91.37	2.63	9.38	73	18.12	47	33.75	24.56	24.94	18.69	2.56	103.25	0.41	21.31	27.5	66.75	26.31	25.37	10.12	16	42.63	13.62	29.69	4.81	90.37	4.94	10.75	7.44	39.32	64.5	19.25	13.38	17.25	32.12	6.19	3.81	6.5	40	39.25	79.69	14.75	33.56	20.75	28.62	1.5	23.69	28.69	20.12	74.94	33.06	37.62	19.62	12.25	28.31	26.12	22	31.5	29.56	6.81	16.06	35.12	28.19	41.81	23.62	19.5	17	8.75	176	40.69	30.25	6.81	12.75	112.56	8.38	1.11	25	51.5	36.56	7.38	7.31	8	73.7	32.31	23.25	4.88	28.12	14.63	25	38.94	10.81	6.38	13.56	13.81	30.94
2000-Nov-21	22.5	11.44	41.06	5.75	12	26.25	15.88	10.62	61.94	18.19	17.37	13.88	36.69	30.94	12.69	113.75	33.31	21.25	27.38	26.25	39.63	35.75	51.56	55.5	67.37	49.81	42.19	38.25	35.5	85	30.12	33.13	55.25	0.81	24.88	38.85	6.94	40.31	31	15.75	5.75	22.94	10.88	36.95	14.69	18	60.44	22.69	27.44	93.12	2.63	9.25	74.75	17.53	45.81	33.88	25.19	25.25	18.69	2.53	98.5	0.41	21.5	28.44	68.12	26.62	24.75	9.88	16	42.75	13.31	29.75	4.75	92	4.92	10.94	7.63	39	65.56	19	13.06	17	31.81	6.56	3.81	6.31	40	39	85.5	14.56	34.06	21.94	28.25	1.56	24.06	29.69	19.75	74.06	33.25	37.62	19.81	11.88	27.88	26.25	22	31.25	29.56	6.81	16.5	35.69	28.56	40.62	23.31	19.38	17	9.06	175	41.19	30.12	6.81	12.56	111.25	8.5	1.25	25.62	51.12	33.13	7.5	7.38	8.12	73	32.44	23.38	4.75	27.19	14.25	24.75	38.75	10.56	6.12	13.31	14.19	30.94
2000-Nov-22	22.5	11.37	42	5.88	11.63	26.12	16.5	9.56	62.44	18.44	17.37	14.31	36.5	30.38	11.94	106.19	32.12	21.25	27.25	26.25	38.56	35.25	51.06	56	65.44	48.88	42	37.81	34.56	84.81	29.19	32.63	59.56	0.88	24.44	39.08	7	39.12	30.94	15.5	5.94	23.12	10.5	37.3	14.69	17.44	60.25	22.19	26.94	94.25	2.63	9.5	72	17.37	43.94	34.19	24.75	25	18	2.53	98.5	0.41	21.88	28.12	69.06	26.12	25.87	10.12	16.06	42.25	13.31	29.94	4.63	90.69	4.91	11.31	7.44	39.24	64.37	18.87	13	16.81	30.69	6.31	3.81	6.44	40.25	39	81.12	14.25	33.44	21.5	28.25	1.38	24.19	28.19	18.94	75.44	31.31	37.19	20	10.25	28.25	26	22	31.38	28.87	6.88	16.38	35.12	28.56	40.12	23.88	19.12	17	8.38	175	41	29.31	6.63	12.44	109.62	8.44	1.12	25	48.44	33.13	7.38	7.5	8	72.27	32.5	23.38	4.63	26.38	14	24.75	37.94	10.75	5.75	12.94	13.94	31
2000-Nov-24	22	11.37	42	5.75	11.63	26.12	16.88	10.94	62.75	19	17.37	14.19	36.75	30.69	13.06	108	33.94	20.81	27.25	26.94	39.31	36.5	50.25	57.06	64.94	48.94	42.88	38.88	34.94	84.31	29.38	32.75	59	1	24.56	40.23	7.31	38.31	30.94	15.75	5.94	23	11.25	36.55	14.69	17.75	60.31	21.94	27.69	94.44	2.5	9.88	73.38	17.39	44.5	34.19	25.19	25	17.94	2.5	99.94	0.41	21.94	27.12	67.56	27	26.06	10.12	16.06	43.06	13.19	30.44	4.81	89.44	4.91	11.31	7.88	39.99	65.31	18.5	12.5	17.38	31.25	6.44	3.75	6.44	40.5	40	82	14.38	33.5	21.87	28.5	1.44	24.19	29.5	18.81	73.62	35	38	19.94	10	29	26.5	22	31.5	29.25	6.75	16.5	35.62	28.81	41.75	24	19.25	16.75	8.44	174	42.5	29.31	6.63	12.81	112.88	8.62	1.12	25.88	49.56	38.5	7.25	7.5	7.94	72.05	31.19	23.69	5	26.88	13.88	24.75	38.44	10.94	5.81	13	14.5	31.12
2000-Nov-27	22	11.69	41.81	6.56	11.75	26.87	16.88	9.94	63.06	18.94	17.5	14.94	37.56	31.31	13.38	111.62	35	21.25	27.38	26.25	39.69	36.69	50.56	59.81	64.31	48.06	43.19	39.69	36.06	84.87	29.19	33.25	59.56	1.31	25.38	41.25	8.19	39	30.19	15.63	5.81	22.31	11.38	36.66	14.69	17.69	60	22.69	28.19	93.12	2.5	9.88	70.19	17.46	45.62	34.06	25.19	24.88	18.44	2.91	98.44	0.35	22.12	26.75	66.38	27.12	26.69	9.94	16.56	43.38	13.06	32.19	4.75	91.62	5.34	12.44	7.56	40.3	66.5	19.19	13.12	17	32.81	6.5	3.75	6.38	43	40.37	82.19	14.44	35.63	22.19	28.38	1.69	23.87	28.56	19.06	72.87	36	37.56	19.94	11.88	29.44	27.56	22	31.38	29.19	6.75	16.31	36.56	28.06	42.56	24.38	19.5	16.88	8.62	170	43.13	28.64	6.63	12.56	115.38	8.56	1.12	26.44	51.75	34.5	7.12	7.31	8.12	70.7	31.81	23.94	4.75	27.62	14.31	24.75	38.75	10.94	5.56	13.44	14.75	30.87
2000-Nov-28	21.75	11.75	41.75	6.56	11.88	27.81	16.5	9.47	61.06	18.5	17.5	15	38.12	32.06	13.38	110.5	34.38	20.88	27.38	25.69	40.5	36.31	49.94	58	64.5	48	42.06	39	36	85.81	29.44	33.19	60.44	1.38	25.25	39.52	7.94	39.56	29.75	15.37	5.69	22.44	11.56	36.7	14.88	17.31	61.25	21.75	27.56	93.06	2.5	10	69.94	17.02	44.62	33.69	24.03	24.5	18.31	2.69	97.87	0.35	22.38	25.37	68.12	27.38	26.06	9.88	16.44	42.44	12.88	31.25	4.63	92.62	5.31	11.88	7.63	39.97	63.63	19.19	12.88	16.75	31.88	6.31	3.81	6.31	43.94	39.87	80.81	14.56	35.69	22.75	28.81	1.5	23.69	27.5	18.44	73.69	33.94	37.25	19.62	11	27.75	27	21.87	31.69	28.56	6.81	16.31	36.31	28.06	41.06	24.12	19.38	16.62	8.75	164	42.5	27.25	6.75	12.38	106.31	8.56	1.12	26.62	49.06	30.75	7.31	7.31	8	70.5	32.5	23.69	4.69	28	14.75	24.75	38.88	10.75	5.69	14.06	14.62	30.94
2000-Nov-29	21.88	11.87	40.94	6.38	11.88	27.87	16.5	8.5	57	18.38	17.5	14.56	38.06	33	13.38	108.5	36.19	20.25	27.5	25.94	40.69	36.75	48.5	59.31	65.44	47.38	42.06	40.13	36.06	82.12	29.06	34.06	62.13	1.19	24.75	39.02	7.81	40.25	31.25	15.37	5.75	22.75	11.25	37.1	14.88	17.5	61.25	19.25	28.12	88.94	2.5	9.81	74.94	17.19	46.94	34.06	23.75	24.5	18.19	2.66	99.81	0.35	22.56	25.06	69.81	27.62	26.75	9.69	16.44	42.38	12.75	30.87	4.81	94.87	5.12	11.5	7.63	39.5	65	19.25	13.44	16.94	32	6.31	3.69	6.38	42.81	39.81	84.25	14.56	35.31	22.37	28.19	1.62	23.31	26	16.81	75.56	35.31	37.5	19.56	10.44	28.44	27.5	23	32.06	27.94	6.88	16.31	37.5	29.06	41	24	19.56	16.62	8.81	159.5	42.69	27.12	6.5	12.5	101.81	8.56	1.25	26.25	48.38	31.69	7.25	7.25	8.31	69.65	32.75	23.69	4.69	28.25	15	24.5	39.13	10.75	5.69	13.81	13.38	30.87
2000-Nov-30	21.12	12.75	41.38	6.62	11.56	28.19	16.5	8.25	52.25	18	17.5	15	38.25	33.38	13.25	113	36.19	20.94	27.31	25.31	39.94	36.62	47.44	60.31	64.75	47.44	42.31	39.31	37.13	81.87	29	35.31	62.63	1.12	24.25	38.44	7.88	41.75	30.56	15.63	5.62	22.94	10.75	37.4	14.94	17.25	61.06	19.31	27.19	88	2.5	9.56	76.25	16.95	45.44	34.13	23.62	24.31	18.75	2.56	93.5	0.35	22.75	24.62	69.94	28.69	26.5	9.62	16.31	43.56	12.62	30.38	4.75	92.69	5	11.62	7.75	39.38	63.38	18.63	12.62	15.56	32.5	6.31	3.88	6.31	42.62	39.69	84.31	14.38	34.75	21.62	27.75	1.56	22.37	23.31	17.12	74.87	32.81	36.81	19.75	9.81	28.19	27	22	31.31	25.75	6.75	16.38	39.38	29.75	40.25	24	19.44	16.88	8.75	159	43.25	26.06	6.5	12.38	105.81	8.81	1.25	25.94	46.56	30.06	7.25	7.25	8.31	71.25	33.81	23.75	4.56	26.94	14.81	24.5	39.13	10.5	5.5	14.25	12.81	30.87
2000-Dec-01	21.81	12.75	42.19	6.56	11.75	29	15.88	8.81	55.13	18	17.37	15.31	38.88	33.69	13.31	117	36.81	21.38	27.5	25.25	39.75	36.75	47.25	63.94	65.69	47.13	42.38	40.69	36.75	82.62	28.81	36.75	62.19	1.12	24.5	39.31	7.94	41.12	32.69	15.5	5.62	22.12	11.06	37.35	14.94	17.75	60.19	19.88	28.38	88.81	2.44	9.25	73.56	17.46	45.94	34.75	24	24.81	18.69	2.59	95.62	0.35	22.94	24.81	70.81	28.88	26.12	9.56	16.44	42.06	12.62	30	4.94	90.62	5.19	12	7.88	39.85	62.38	18.63	13	16.37	32.5	6.5	3.75	6.44	43.69	40.31	80.5	14.31	37.31	22.56	28.56	1.62	22.37	23.06	17.88	73.94	35.06	37.75	19.25	9.44	27.81	27.12	22	32.19	28.19	6.88	16.19	39	30.56	41	24.19	19.5	16.75	8.88	162.19	42.94	26	7	12.31	104.62	8.88	1.31	25.5	46.88	31.5	7.31	7.5	8.69	71.8	33.38	23.38	4.56	29.44	15.13	24.5	40	10.75	5.5	16	12.94	30.94
